run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
822d30204ab2,2.778274092329554,34,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e034_de002.7783.pt,late,resnet18,image+mean+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3680ee6b73be,2.9359556766877692,34,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e034_de002.9360.pt,late,resnet18,image+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6b7d63e68228,2.944128797900292,36,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e036_de002.9441.pt,late,resnet18,image+mean+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
05fca493841e,2.9756708452778478,36,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e036_de002.9757.pt,late,resnet18,image+mean+meta,samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
de6e41495f04,3.2341245623602384,36,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e036_de003.2341.pt,late,resnet18,image+meta,none,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ab1b91800446,3.2536630236584205,37,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e037_de003.2537.pt,late,resnet18,image+meta,none,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5bde0e476ed5,3.1150165950978987,37,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e037_de003.1150.pt,late,resnet18,image+meta,pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3bc4d97d4432,3.332305171524269,37,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e037_de003.3323.pt,late,resnet18,image+meta,none,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
64a94fa68917,3.1558061992849105,39,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e039_de003.1558.pt,late,resnet18,image+mean+meta,pixel,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d1e7e1d19a18,5.133864854729694,39,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e039_de005.1339.pt,late,resnet18,image,none,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
bed0c80d76ec,3.2358288109757516,40,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e040_de003.2358.pt,late,resnet18,image+mean+meta,pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
cf022fa1db1e,3.5411276637644007,40,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e040_de003.5411.pt,late,resnet18,image+mean+meta,none,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
00d1270afd1a,2.877230913408341,49,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e049_de002.8772.pt,late,resnet18,image+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a90be2b5db88,2.7991824534631546,47,/home/dominik/repo/checkpoints/sweep/xattn/late_resnet18_e047_de002.7992.pt,late,resnet18,image+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
