_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,included_folders
model,xattn,2,2.107786849320653,2.107786849320653,0.06444205810974965,,,,
model,late,2,2.3058275185435653,2.3058275185435653,0.14365766517565487,,,,
model,film,2,2.3230423625693266,2.3230423625693266,0.08757487894210988,,,,
backbone,,6,2.2326818905681014,2.245552243477848,0.13393574980232842,resnet18,,,
features,,6,2.2326818905681014,2.245552243477848,0.13393574980232842,,image+meta,,
mse_weight_epochs,,3,2.204246209328433,2.2062393489132925,0.05390929414361635,,,75.0,
mse_weight_epochs,,3,2.384967153330883,2.284865138042404,0.19314305489865594,,,5.0,
included_folders,,6,2.2326818905681014,2.245552243477848,0.13393574980232842,,,,focus
model+backbone,xattn,2,2.107786849320653,2.107786849320653,0.06444205810974965,resnet18,,,
model+backbone,late,2,2.3058275185435653,2.3058275185435653,0.14365766517565487,resnet18,,,
model+backbone,film,2,2.3230423625693266,2.3230423625693266,0.08757487894210988,resnet18,,,
model+features,xattn,2,2.107786849320653,2.107786849320653,0.06444205810974965,,image+meta,,
model+features,late,2,2.3058275185435653,2.3058275185435653,0.14365766517565487,,image+meta,,
model+features,film,2,2.3230423625693266,2.3230423625693266,0.08757487894210988,,image+meta,,
model+mse_weight_epochs,xattn,1,2.0622194330376313,2.0622194330376313,,,,5.0,
model+mse_weight_epochs,xattn,1,2.1533542656036744,2.1533542656036744,,,,75.0,
model+mse_weight_epochs,late,1,2.204246209328433,2.204246209328433,,,,75.0,
model+mse_weight_epochs,film,1,2.2611175718077696,2.2611175718077696,,,,75.0,
model+mse_weight_epochs,film,1,2.384967153330883,2.384967153330883,,,,5.0,
model+mse_weight_epochs,late,1,2.4074088277586974,2.4074088277586974,,,,5.0,
model+included_folders,xattn,2,2.107786849320653,2.107786849320653,0.06444205810974965,,,,focus
model+included_folders,late,2,2.3058275185435653,2.3058275185435653,0.14365766517565487,,,,focus
model+included_folders,film,2,2.3230423625693266,2.3230423625693266,0.08757487894210988,,,,focus
backbone+features,,6,2.2326818905681014,2.245552243477848,0.13393574980232842,resnet18,image+meta,,
backbone+mse_weight_epochs,,3,2.204246209328433,2.2062393489132925,0.05390929414361635,resnet18,,75.0,
backbone+mse_weight_epochs,,3,2.384967153330883,2.284865138042404,0.19314305489865594,resnet18,,5.0,
backbone+included_folders,,6,2.2326818905681014,2.245552243477848,0.13393574980232842,resnet18,,,focus
features+mse_weight_epochs,,3,2.204246209328433,2.2062393489132925,0.05390929414361635,,image+meta,75.0,
features+mse_weight_epochs,,3,2.384967153330883,2.284865138042404,0.19314305489865594,,image+meta,5.0,
features+included_folders,,6,2.2326818905681014,2.245552243477848,0.13393574980232842,,image+meta,,focus
mse_weight_epochs+included_folders,,3,2.204246209328433,2.2062393489132925,0.05390929414361635,,,75.0,focus
mse_weight_epochs+included_folders,,3,2.384967153330883,2.284865138042404,0.19314305489865594,,,5.0,focus
