run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space,val_split,grad_clip,workers,seed,group_split,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,excluded_folders,included_folders,meta_encoder,meta_model_name,meta_layers,meta_text_template
00c2199582c8,val,2.859038145311417,75,/home/dominik/repo/checkpoints/sweep/report-template/full/film__resnet18__image+mean+meta__focus__layers1__s100/film_resnet18_e075_de002.8590.pt,film,resnet18,image+mean+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0,100,,0,256,rgb,sigmoid_eps,0.001,,focus,flair,jhu-clsp/ettin-encoder-17m,-1,compact
61ec79c3dccc,val,2.8683903986407864,88,/home/dominik/repo/checkpoints/sweep/report-template/full/film__resnet18__image+mean+meta__focus__layers2__s100/film_resnet18_e088_de002.8684.pt,film,resnet18,image+mean+meta,100,32,0.001,0.0001,1.0,75,rgb,0.15,1.0,0,100,,0,256,rgb,sigmoid_eps,0.001,,focus,flair,jhu-clsp/ettin-encoder-17m,-2,compact
