_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,included_folders
model,film,3,2.5527104469667,2.5468936856970728,0.06564359243751478,,,,
model,late,3,2.6255930647792587,2.626322705104169,0.10319835872511442,,,,
model,xattn,3,2.8898447881261986,2.923774307032666,0.15226164066643028,,,,
backbone,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,resnet18,,,
features,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,,image+meta,,
mse_weight_epochs,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,,,75.0,
included_folders,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,,,,focus
model+backbone,film,3,2.5527104469667,2.5468936856970728,0.06564359243751478,resnet18,,,
model+backbone,late,3,2.6255930647792587,2.626322705104169,0.10319835872511442,resnet18,,,
model+backbone,xattn,3,2.8898447881261986,2.923774307032666,0.15226164066643028,resnet18,,,
model+features,film,3,2.5527104469667,2.5468936856970728,0.06564359243751478,,image+meta,,
model+features,late,3,2.6255930647792587,2.626322705104169,0.10319835872511442,,image+meta,,
model+features,xattn,3,2.8898447881261986,2.923774307032666,0.15226164066643028,,image+meta,,
model+mse_weight_epochs,film,3,2.5527104469667,2.5468936856970728,0.06564359243751478,,,75.0,
model+mse_weight_epochs,late,3,2.6255930647792587,2.626322705104169,0.10319835872511442,,,75.0,
model+mse_weight_epochs,xattn,3,2.8898447881261986,2.923774307032666,0.15226164066643028,,,75.0,
model+included_folders,film,3,2.5527104469667,2.5468936856970728,0.06564359243751478,,,,focus
model+included_folders,late,3,2.6255930647792587,2.626322705104169,0.10319835872511442,,,,focus
model+included_folders,xattn,3,2.8898447881261986,2.923774307032666,0.15226164066643028,,,,focus
backbone+features,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,resnet18,image+meta,,
backbone+mse_weight_epochs,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,resnet18,,75.0,
backbone+included_folders,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,resnet18,,,focus
features+mse_weight_epochs,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,,image+meta,75.0,
features+included_folders,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,,image+meta,,focus
mse_weight_epochs+included_folders,,9,2.6255930647792587,2.698996899277969,0.19783535033339283,,,75.0,focus
