run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,included_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
549e7b75f8ac,2.191576021263398,52,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e052_de002.1916.pt,late,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6b1acdbf7d6a,2.818654204859878,52,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e052_de002.8187.pt,late,resnet18,image+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6e78f867bd3c,2.9592761275837725,53,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e053_de002.9593.pt,late,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5c31832486ae,3.033077759042352,53,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e053_de003.0331.pt,late,resnet18,image+mean+meta,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
60737555ce3e,3.069229024127849,53,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e053_de003.0692.pt,late,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
66e8812a2e88,2.8187306234913487,55,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e055_de002.8187.pt,late,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5042b5a18311,2.1635194830147615,58,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e058_de002.1635.pt,late,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
9b1a4f5fa232,2.154835169573864,59,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e059_de002.1548.pt,late,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3ef814da9356,2.471572845212875,81,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e081_de002.4716.pt,late,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ff1e01265a01,3.0148506999255664,86,/home/dominik/repo/checkpoints/sweep/flair4/late_resnet18_e086_de003.0149.pt,late,resnet18,image+mean+meta,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
eda8d810bd21,3.1375011449836823,14,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e014_de003.1375.pt,xattn,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a9a667da0a44,3.166293736427061,34,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e034_de003.1663.pt,xattn,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
dd9cb2de6fb3,4.088842365103708,34,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e034_de004.0888.pt,xattn,resnet18,image+mean+meta,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
caa8ffb05ced,3.768130179374449,36,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e036_de003.7681.pt,xattn,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
