_group_by,model,count,median,mean,std,backbone,features,mse_weight_epochs,included_folders
model,film,30,2.5116335576580417,2.616653366285853,0.49084747252155736,,,,
model,late,32,2.9728442071710974,2.8422470978462493,0.38886494248974884,,,,
model,xattn,30,3.216932978444887,3.333487201311784,0.43189014583072166,,,,
backbone,,92,3.036796551355174,2.928870914771838,0.5258168541937339,resnet18,,,
features,,2,2.747981976740288,2.747981976740288,0.09994562348984933,,image+meta,,
features,,90,3.0425865055702435,2.9328906689503165,0.5308790794886266,,image+mean+meta,,
mse_weight_epochs,,92,3.036796551355174,2.928870914771838,0.5258168541937339,,,75.0,
included_folders,,18,2.1775477521390796,2.2855653781169547,0.41411484154015016,,,,focus/samsung
included_folders,,20,2.690885001613248,2.749019352240763,0.27897418728732765,,,,focus
included_folders,,18,3.089729597491603,3.0834960206862423,0.4848869174769482,,,,focus/iphone
included_folders,,18,3.096293513923584,3.3757710756137285,0.44454589811215706,,,,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4
included_folders,,18,3.1988464292970678,3.1704862541493988,0.11812406369630396,,,,focus/pixel
model+backbone,film,30,2.5116335576580417,2.616653366285853,0.49084747252155736,resnet18,,,
model+backbone,late,32,2.9728442071710974,2.8422470978462493,0.38886494248974884,resnet18,,,
model+backbone,xattn,30,3.216932978444887,3.333487201311784,0.43189014583072166,resnet18,,,
model+features,film,30,2.5116335576580417,2.616653366285853,0.49084747252155736,,image+mean+meta,,
model+features,late,2,2.747981976740288,2.747981976740288,0.09994562348984933,,image+meta,,
model+features,late,30,3.0006314933419946,2.8485314392533136,0.40080731058132435,,image+mean+meta,,
model+features,xattn,30,3.216932978444887,3.333487201311784,0.43189014583072166,,image+mean+meta,,
model+mse_weight_epochs,film,30,2.5116335576580417,2.616653366285853,0.49084747252155736,,,75.0,
model+mse_weight_epochs,late,32,2.9728442071710974,2.8422470978462493,0.38886494248974884,,,75.0,
model+mse_weight_epochs,xattn,30,3.216932978444887,3.333487201311784,0.43189014583072166,,,75.0,
model+included_folders,film,6,1.8541902188795159,1.8614946443393048,0.12363657007112977,,,,focus/samsung
model+included_folders,late,6,2.1775477521390796,2.2091912811539736,0.08954108599991094,,,,focus/samsung
model+included_folders,film,6,2.4767864558004566,2.464416188578452,0.055122644204049505,,,,focus
model+included_folders,film,6,2.494074671499191,2.5137988687843404,0.09348870237935415,,,,focus/iphone
model+included_folders,late,8,2.690885001613248,2.6814848991287534,0.10201155815952227,,,,focus
model+included_folders,xattn,6,2.723534572555358,2.786010208857586,0.1908646560933427,,,,focus/samsung
model+included_folders,film,6,3.0413514697096,3.037613032569348,0.06091270404502186,,,,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4
model+included_folders,late,6,3.056026651585846,3.1385097187849436,0.2058786488894937,,,,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4
model+included_folders,late,6,3.05790421800706,3.1105150219691997,0.15263112480978383,,,,focus/pixel
model+included_folders,late,6,3.089729597491603,3.1251219677668747,0.19823822614898,,,,focus/iphone
model+included_folders,xattn,6,3.1337506847996863,3.123668453385753,0.07213270185363857,,,,focus
model+included_folders,film,6,3.199657213340685,3.2059440971578206,0.11152393557699339,,,,focus/pixel
model+included_folders,xattn,6,3.216932978444887,3.1949996433211765,0.07184494618486116,,,,focus/pixel
model+included_folders,xattn,6,3.6214140076791086,3.6115672255075104,0.15867404159936604,,,,focus/iphone
model+included_folders,xattn,6,3.99843669369427,3.9511904754868934,0.15399238321894143,,,,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4
backbone+features,,2,2.747981976740288,2.747981976740288,0.09994562348984933,resnet18,image+meta,,
backbone+features,,90,3.0425865055702435,2.9328906689503165,0.5308790794886266,resnet18,image+mean+meta,,
backbone+mse_weight_epochs,,92,3.036796551355174,2.928870914771838,0.5258168541937339,resnet18,,75.0,
backbone+included_folders,,18,2.1775477521390796,2.2855653781169547,0.41411484154015016,resnet18,,,focus/samsung
backbone+included_folders,,20,2.690885001613248,2.749019352240763,0.27897418728732765,resnet18,,,focus
backbone+included_folders,,18,3.089729597491603,3.0834960206862423,0.4848869174769482,resnet18,,,focus/iphone
backbone+included_folders,,18,3.096293513923584,3.3757710756137285,0.44454589811215706,resnet18,,,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4
backbone+included_folders,,18,3.1988464292970678,3.1704862541493988,0.11812406369630396,resnet18,,,focus/pixel
features+mse_weight_epochs,,2,2.747981976740288,2.747981976740288,0.09994562348984933,,image+meta,75.0,
features+mse_weight_epochs,,90,3.0425865055702435,2.9328906689503165,0.5308790794886266,,image+mean+meta,75.0,
features+included_folders,,18,2.1775477521390796,2.2855653781169547,0.41411484154015016,,image+mean+meta,,focus/samsung
features+included_folders,,18,2.690885001613248,2.7491346161852603,0.2939301464819447,,image+mean+meta,,focus
features+included_folders,,2,2.747981976740288,2.747981976740288,0.09994562348984933,,image+meta,,focus
features+included_folders,,18,3.089729597491603,3.0834960206862423,0.4848869174769482,,image+mean+meta,,focus/iphone
features+included_folders,,18,3.096293513923584,3.3757710756137285,0.44454589811215706,,image+mean+meta,,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4
features+included_folders,,18,3.1988464292970678,3.1704862541493988,0.11812406369630396,,image+mean+meta,,focus/pixel
mse_weight_epochs+included_folders,,18,2.1775477521390796,2.2855653781169547,0.41411484154015016,,,75.0,focus/samsung
mse_weight_epochs+included_folders,,20,2.690885001613248,2.749019352240763,0.27897418728732765,,,75.0,focus
mse_weight_epochs+included_folders,,18,3.089729597491603,3.0834960206862423,0.4848869174769482,,,75.0,focus/iphone
mse_weight_epochs+included_folders,,18,3.096293513923584,3.3757710756137285,0.44454589811215706,,,75.0,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4
mse_weight_epochs+included_folders,,18,3.1988464292970678,3.1704862541493988,0.11812406369630396,,,75.0,focus/pixel
