run_id,metric_kind,best_metric,best_epoch,ckpt_path,model,backbone,features,epochs,batch_size,lr,weight_decay,mse_weight_start,mse_weight_epochs,mse_space,val_split,grad_clip,workers,seed,group_split,hidden_classes_cnt,meta_dim,color_space,pred_activation,activation_eps,excluded_folders,included_folders,meta_encoder,meta_model_name,meta_layers,meta_text_template,lr_auto,lr_schedule,optim
6111e9dc0d75,test,6.670441973036614,20,./checkpoints/sweep/smoke/full/final_test/late__resnet18__image+mean+meta__focus-iphone__layers2__s100/late__resnet18__image+mean+meta__focus-iphone__layers2__s100/final_summary.json,late,resnet18,image+mean+meta,20,32,0.001,0.0001,,75,,0.0,,,,,,,rgb,,,,focus/iphone,flair,jhu-clsp/ettin-encoder-17m,-2,compact,True,paper_resnet,sgd
67d41b8358c5,val,,20,./checkpoints/sweep/smoke/full/final_test/late__resnet18__image+mean+meta__focus-iphone__layers2__s100/late__resnet18__image+mean+meta__focus-iphone__layers2__s100/last.pt,late,resnet18,image+mean+meta,20,32,0.001,0.0001,1.0,75,rgb,0.0,1.0,0.0,100.0,,0.0,256.0,rgb,sigmoid_eps,0.001,,focus/iphone,flair,jhu-clsp/ettin-encoder-17m,-2,compact,,,
