run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
68827d97d9f7,2.7423224602976153,53,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e053_de002.7423.pt,film,smallcnn,image+mean+meta,samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
64377e871d5a,3.1887837714043217,47,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e047_de003.1888.pt,film,smallcnn,image+meta,,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
9a86cbd69b2b,2.608584919283467,55,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e055_de002.6086.pt,film,smallcnn,image+mean+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6544bb594985,2.3435854969254457,60,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e060_de002.3436.pt,film,smallcnn,image+meta,pixel+samsung,0,1.0,0.001,0.0001,sigmoid_eps,0.001,100
bba8779a6f72,3.2816390224125076,65,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e065_de003.2816.pt,film,smallcnn,image+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6102c2ec8f4b,2.5466601532625863,77,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e077_de002.5467.pt,film,smallcnn,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
47f2a37eeaa8,2.51877184068003,81,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e081_de002.5188.pt,film,smallcnn,image+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
bb13b482261c,2.094589122088559,86,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e086_de002.0946.pt,film,smallcnn,image+mean+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c9f8d0357599,2.7835723614347154,97,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e097_de002.7836.pt,film,smallcnn,image+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
006f08047813,2.138440940753523,96,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e096_de002.1384.pt,film,smallcnn,image+mean+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
1b823f3f09ef,2.7607361468715945,97,/home/dominik/repo/checkpoints/sweep/compare-old/film_smallcnn_e097_de002.7607.pt,film,smallcnn,image+meta,,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2a04fd5d01c4,2.678055832184941,20,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e020_de002.6781.pt,late,resnet18,image+mean+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
56ee0d2c2881,2.8818487661430634,21,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e021_de002.8818.pt,late,resnet18,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
45ef00fcd184,2.751307674201138,23,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e023_de002.7513.pt,late,resnet18,image+mean+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2aeb3013398f,3.1666029345604683,28,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e028_de003.1666.pt,late,resnet18,image+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
855951599a11,3.038908527743432,30,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e030_de003.0389.pt,late,resnet18,image+mean+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
65a122bc6a50,3.543002796173096,32,/home/dominik/repo/checkpoints/sweep/compare-old/late_resnet18_e032_de003.5430.pt,late,resnet18,image+meta,,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
