model,backbone,features,mse_weight_epochs,matched,better,same,worse,delta_mean,delta_median,pct_better
xattn,smallcnn,image,75,2,2,0,0,-1.1027171150330575,-1.1027171150330575,100.0
film,smallcnn,image,75,2,2,0,0,-0.9285083970715924,-0.9285083970715924,100.0
late,smallcnn,image,75,2,2,0,0,-0.8710827673635175,-0.8710827673635175,100.0
xattn,smallcnn,image+meta,75,2,2,0,0,-0.06173908710479736,-0.06173908710479736,100.0
late,smallcnn,image+meta,75,2,0,0,2,0.036335283710110744,0.036335283710110744,0.0
film,smallcnn,image+meta,75,2,0,0,2,0.045106418671147175,0.045106418671147175,0.0
