model,backbone,features,mse_weight_epochs,best_metric_A_best,best_metric_B_best,delta_best_B_minus_A,verdict_best
film,smallcnn,image,75,3.4703128568587767,2.5418044597871843,-0.9285083970715924,better
film,smallcnn,image+meta,75,2.350059424677202,2.3951658433483494,0.045106418671147175,worse
late,smallcnn,image,75,3.4925536801738124,2.621470912810295,-0.8710827673635175,better
late,smallcnn,image+meta,75,2.3756771010737263,2.412012384783837,0.036335283710110744,worse
xattn,smallcnn,image,75,3.62316531519736,2.5204482001643025,-1.1027171150330575,better
xattn,smallcnn,image+meta,75,2.38812897282262,2.3267012565366683,-0.06142771628595156,better
