bin_left,bin_right,count
-1.444387479358249,-1.299948731422424,3
-1.299948731422424,-1.1555099834865992,0
-1.1555099834865992,-1.0110712355507743,0
-1.0110712355507743,-0.8666324876149494,3
-0.8666324876149494,-0.7221937396791245,3
-0.7221937396791245,-0.5777549917432996,0
-0.5777549917432996,-0.4333162438074747,0
-0.4333162438074747,-0.2888774958716498,0
-0.2888774958716498,-0.1444387479358249,0
-0.1444387479358249,0.0,0
0.0,0.1444387479358249,0
0.1444387479358249,0.2888774958716498,0
0.2888774958716498,0.4333162438074747,0
0.4333162438074747,0.5777549917432996,0
0.5777549917432996,0.7221937396791245,0
0.7221937396791245,0.8666324876149494,0
0.8666324876149494,1.0110712355507743,0
1.0110712355507743,1.1555099834865992,0
1.1555099834865992,1.299948731422424,0
1.299948731422424,1.444387479358249,0
