bin_left,bin_right,count
-0.9026000855286692,-0.8123400769758022,0
-0.8123400769758022,-0.7220800684229354,0
-0.7220800684229354,-0.6318200598700685,0
-0.6318200598700685,-0.5415600513172015,0
-0.5415600513172015,-0.4513000427643346,0
-0.4513000427643346,-0.3610400342114677,1
-0.3610400342114677,-0.2707800256586007,2
-0.2707800256586007,-0.18052001710573384,2
-0.18052001710573384,-0.09026000855286698,1
-0.09026000855286698,0.0,3
0.0,0.09026000855286698,4
0.09026000855286698,0.18052001710573384,2
0.18052001710573384,0.2707800256586007,1
0.2707800256586007,0.3610400342114678,2
0.3610400342114678,0.45130004276433466,1
0.45130004276433466,0.5415600513172015,0
0.5415600513172015,0.6318200598700684,1
0.6318200598700684,0.7220800684229353,1
0.7220800684229353,0.8123400769758023,1
0.8123400769758023,0.9026000855286692,2
