model,backbone,features,matched,better,same,worse,delta_mean,delta_median,pct_better
late,resnet18,image+meta,6,3,0,3,-0.06678568830148317,-0.036689157945564155,50.0
late,resnet18,image+mean+meta,6,2,0,4,0.12036900504041752,0.061135861528924806,33.333333333333336
late,smallcnn,image+mean+meta,6,2,0,4,0.1294437308736999,0.11227068034997312,33.333333333333336
late,smallcnn,image+meta,6,2,0,4,0.43280011195333934,0.6307187298069834,33.333333333333336
