ISOSpeedRatings,ShutterSpeedValue,BrightnessValue,L,a,b,L-true,a-true,b-true,Make_Apple,Make_Google,Make_samsung
80,6.825496426,4.563406025,73.10573,5.514136,5.627314,62.02052,12.954159,15.579356,1,0,0
64,6.92243978,4.985074272,72.106155,13.685817,4.9283338,62.399544,14.5500145,14.462734,1,0,0
80,6.92243978,4.655710449,72.11655,13.72733,5.770616,62.761303,16.00593,13.887024,1,0,0
64,6.92243978,5.062971381,70.84756,9.363928,-0.013796463,64.09686,15.389387,12.41075,1,0,0
64,6.92243978,4.984465378,69.94321,6.1646304,3.4065778,63.247646,9.914724,18.393875,1,0,0
64,6.92243978,5.037270485,70.642365,5.4888215,2.5265691,63.188114,9.775371,17.177896,1,0,0
64,6.92243978,4.974413836,73.35684,4.3946004,3.3424323,63.006313,8.847383,19.147552,1,0,0
64,6.92243978,4.966030654,74.06641,2.9831252,3.4986594,62.886497,8.312987,19.525492,1,0,0
64,6.92243978,4.911202655,76.75256,2.722291,3.7975693,62.409336,7.9263387,19.399977,1,0,0
80,6.92243978,4.730936144,69.65688,7.3537693,6.2293897,60.17634,12.8776655,20.321262,1,0,0
80,6.92243978,4.829299035,73.38472,9.253722,3.0889726,59.75346,14.488107,17.486557,1,0,0
64,6.92243978,4.892464003,71.40362,13.431764,2.758946,59.806076,16.362427,15.323406,1,0,0
64,6.92243978,4.918273996,70.61089,13.838218,2.9217143,60.097546,16.06287,14.5911255,1,0,0
80,6.80744726,4.553305611,72.94123,6.9965234,6.135775,59.92469,11.815386,21.069326,1,0,0
80,6.92243978,4.846055855,72.090096,4.5227566,3.3631377,59.79257,11.488142,18.602215,1,0,0
80,6.92243978,4.885199576,72.10766,5.3691916,5.7359767,60.112865,11.088722,20.182013,1,0,0
80,6.801480698,4.556481302,71.88186,3.1818933,3.538951,60.336555,8.864854,19.871912,1,0,0
64,6.92243978,4.925615971,72.19023,3.0347123,6.2934303,59.994076,7.378044,20.479286,1,0,0
80,6.528689737,4.283321282,68.91079,8.521687,8.315644,57.404537,12.664835,20.38105,1,0,0
80,6.909547598,4.739547798,65.952126,12.805199,10.126274,56.795635,15.009408,18.436306,1,0,0
80,6.649348869,4.427808449,67.791534,14.533909,5.108026,57.371273,15.88183,16.40284,1,0,0
80,6.92243978,4.812423182,70.97294,15.103635,2.8593216,57.075245,16.423311,14.257072,1,0,0
80,6.900039659,4.73003986,69.64767,7.0466757,7.2179832,56.511032,12.188506,20.823841,1,0,0
80,6.900039659,4.752292668,72.30199,6.1181145,3.379474,57.188583,11.835489,20.05277,1,0,0
80,6.526294124,4.233200435,69.79459,5.782354,5.634311,57.10753,9.902343,20.455963,1,0,0
80,6.625364441,4.3565183,72.41781,5.0948405,6.6915126,56.68566,9.685779,21.568878,1,0,0
80,6.550972222,4.257509478,69.42706,4.0360284,8.708943,56.755615,8.404765,21.060598,1,0,0
80,6.43808835,4.275544356,65.56678,9.859485,12.462228,53.927246,12.823388,21.23433,1,0,0
80,6.654717184,4.461422187,64.13422,15.533957,13.39572,53.545975,16.019243,19.634878,1,0,0
80,6.456721898,4.163628213,66.33002,16.963957,10.94641,53.335617,16.821207,18.19671,1,0,0
80,6.679050961,4.493329183,69.03462,16.442858,12.057233,54.491013,16.716059,18.092766,1,0,0
80,6.388053348,4.093722612,65.99707,10.141949,14.886843,53.135147,12.774755,21.85494,1,0,0
80,6.487459576,4.224848626,68.46309,7.066548,8.541464,54.001453,11.646533,20.150839,1,0,0
80,6.620104054,4.351257908,63.010334,8.016669,11.440188,52.89887,10.438525,19.721853,1,0,0
80,6.68453116,4.430389502,67.0299,6.891021,12.432526,53.209557,8.4475565,20.102232,1,0,0
80,6.709377432,4.47224015,67.71324,5.1926293,15.66162,54.477448,7.0145698,21.834476,1,0,0
80,6.433467326,4.179325676,63.69926,12.766378,18.75125,49.392807,13.7782545,21.313484,1,0,0
80,6.489791517,4.219187774,61.478363,15.729722,14.809042,49.528767,15.858162,20.396135,1,0,0
80,6.586440576,4.340204127,63.511753,17.570791,12.270488,49.235924,16.468294,17.645351,1,0,0
80,6.449643039,4.173128724,59.428932,17.889828,9.436086,49.432293,15.8319025,16.131208,1,0,0
80,6.528689737,4.345419332,64.26647,10.956244,16.423294,49.02744,12.37615,21.346624,1,0,0
80,6.566066305,4.365158124,65.08427,11.137189,14.855759,50.317432,12.700615,21.401436,1,0,0
80,6.599392127,4.338169717,65.94364,7.355519,14.861446,49.422443,9.262399,20.051134,1,0,0
80,6.703802222,4.511201001,67.18284,6.8357205,15.674195,49.57981,8.25191,20.24161,1,0,0
80,6.466129711,4.228623366,64.18574,13.1851845,16.859318,44.093468,12.281855,19.797335,1,0,0
80,6.576217478,4.281366191,63.639,15.814596,16.381208,45.444614,14.405902,18.170168,1,0,0
80,6.415129833,4.206568085,64.539154,16.944555,16.67601,44.289803,14.755018,17.151789,1,0,0
80,6.511608392,4.258703794,64.555786,16.439987,12.2560625,44.5889,14.406271,16.36142,1,0,0
80,6.489791517,4.203588657,61.983047,13.384469,19.274866,44.756588,11.655614,20.104218,1,0,0
80,6.558567521,4.357659337,61.40537,10.377107,12.701542,45.310497,12.286628,19.111362,1,0,0
80,6.538580406,4.360392305,60.091133,7.220024,15.552672,44.67594,9.747376,19.934181,1,0,0
80,6.638671813,4.351948408,64.94095,7.723732,17.676113,45.08338,8.0106945,21.03662,1,0,0
80,6.329101668,4.14337989,59.9989,11.3429575,14.990493,39.53265,10.904205,17.0126,1,0,0
80,6.357211569,4.156303388,62.141594,14.966754,14.659158,39.159378,12.796523,15.3166275,1,0,0
80,6.361594325,4.114837326,60.913303,17.997799,17.073595,39.058563,12.480067,14.548525,1,0,0
80,6.262019104,4.017019707,61.55886,16.48145,12.361049,38.69224,12.771612,13.416813,1,0,0
80,6.341917425,4.063796909,61.80885,12.944355,17.727894,39.7831,10.182378,17.949804,1,0,0
80,6.339812495,4.108737119,65.81909,11.104312,14.709074,40.638382,10.355568,16.718884,1,0,0
80,6.31835464,4.119528772,61.09628,9.989927,19.794577,39.626873,9.498263,18.925226,1,0,0
80,6.049403183,3.809814537,57.89094,8.192679,11.818118,34.12453,8.305508,13.037223,1,0,0
80,6.110691574,3.865323116,59.014683,9.827001,9.452972,34.07463,8.273018,11.069825,1,0,0
80,6.132995514,3.878853868,56.76299,11.532067,9.806412,34.753605,9.284836,10.806059,1,0,0
80,6.074267888,3.834679236,57.213345,16.211315,10.124121,33.212276,9.99642,10.511238,1,0,0
80,6.074267888,3.881666658,59.18607,7.7546873,10.63264,34.848213,7.7943053,12.792667,1,0,0
