bin_left,bin_right,count
-0.7493131735238685,-0.6743818561714816,1
-0.6743818561714816,-0.5994505388190948,1
-0.5994505388190948,-0.5245192214667079,0
-0.5245192214667079,-0.4495879041143211,1
-0.4495879041143211,-0.37465658676193425,0
-0.37465658676193425,-0.29972526940954736,1
-0.29972526940954736,-0.22479395205716057,1
-0.22479395205716057,-0.14986263470477368,0
-0.14986263470477368,-0.07493131735238678,0
-0.07493131735238678,0.0,0
0.0,0.0749313173523869,1
0.0749313173523869,0.1498626347047738,0
0.1498626347047738,0.22479395205716057,0
0.22479395205716057,0.29972526940954736,0
0.29972526940954736,0.37465658676193425,0
0.37465658676193425,0.44958790411432115,0
0.44958790411432115,0.524519221466708,0
0.524519221466708,0.5994505388190949,0
0.5994505388190949,0.6743818561714816,0
0.6743818561714816,0.7493131735238685,0
