model,backbone,features,mse_weight_epochs,matched,better,same,worse,delta_mean,delta_median,pct_better
xattn,resnet18,image,75,2,2,0,0,-1.2449519172791512,-1.2449519172791512,100.0
late,resnet18,image,75,2,2,0,0,-0.9653416833569928,-0.9653416833569928,100.0
film,resnet18,image,75,2,2,0,0,-0.9568489828417377,-0.9568489828417377,100.0
film,resnet18,image+meta,75,2,2,0,0,-0.5875339354238203,-0.5875339354238203,100.0
xattn,resnet18,image+meta,75,2,2,0,0,-0.4955740744067776,-0.4955740744067776,100.0
late,resnet18,image+meta,75,2,2,0,0,-0.33289127965127285,-0.33289127965127285,100.0
