model,backbone,features,mse_weight_epochs,best_metric_A_best,best_metric_B_best,delta_best_B_minus_A,verdict_best
film,resnet18,image,75,3.7077638564571256,2.750914873615388,-0.9568489828417377,better
film,resnet18,image+meta,75,3.1828433698223484,2.595309434398528,-0.5875339354238203,better
late,resnet18,image,75,3.564556952445738,2.599215269088745,-0.9653416833569928,better
late,resnet18,image+meta,75,2.7748729413555515,2.4419816617042787,-0.33289127965127285,better
xattn,resnet18,image,75,3.6347897898766304,2.389837872597479,-1.2449519172791512,better
xattn,resnet18,image+meta,75,2.8868468961408063,2.3912728217340287,-0.4955740744067776,better
